Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:00.0,Offensive rebound by J. Smith,56-59, ,,2,59,56,3,1440.0
0:00.0,J. Smith makes 2-pt layup from 5 ft,58-59, ,,2,59,58,1,1440.0
0:00.0,Shooting foul by K. Lowry (drawn by J. Smith),58-59, ,,2,59,58,1,1440.0
0:00.0,A. Thompson enters the game for J. Tate,58-59, ,,2,59,58,1,1440.0
0:00.0,J. Smith makes free throw 1 of 1,59-59, ,Tie,2,59,59,0,1440.0
0:00.0,End of 2nd quarter,59-59,,,2,59,59,0,1440.0
12:00.0,Start of 3rd quarter,59-59,,,3,59,59,0,1440.0
11:44.0,J. Green misses 3-pt jump shot from 24 ft,59-59, ,,3,59,59,0,1456.0
11:40.0, ,59-59,Defensive rebound by K. Lowry,,3,59,59,0,1460.0
11:28.0, ,59-59,N. Jović misses 3-pt jump shot from 27 ft,,3,59,59,0,1472.0
11:25.0,Defensive rebound by A. Sengun,59-59, ,,3,59,59,0,1475.0
11:11.0,A. Sengun misses 2-pt jump shot from 17 ft,59-59, ,,3,59,59,0,1489.0
11:08.0, ,59-59,Defensive rebound by B. Adebayo,,3,59,59,0,1492.0
10:56.0, ,59-59,Def 3 sec tech foul by Team,,3,59,59,0,1504.0
10:56.0, ,59-60,T. Herro makes technical free throw,,3,60,59,1,1504.0
10:47.0, ,59-63,T. Herro makes 3-pt jump shot from 27 ft (assist by N. Jović),,3,63,59,4,1513.0
10:32.0,J. Green misses 3-pt jump shot from 25 ft,59-63, ,,3,63,59,4,1528.0
10:32.0, ,59-63,Defensive rebound by K. Lowry,,3,63,59,4,1528.0
10:31.0, ,59-63,Turnover by K. Lowry (lost ball; steal by J. Tate),,3,63,59,4,1529.0
10:25.0,A. Sengun makes 2-pt layup from 3 ft,61-63, ,,3,63,61,2,1535.0
10:15.0, ,61-66,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Jaquez),,3,66,61,5,1545.0
9:48.0,F. VanVleet misses 3-pt jump shot from 27 ft,61-66, ,,3,66,61,5,1572.0
9:44.0, ,61-66,Defensive rebound by T. Herro,,3,66,61,5,1576.0
