Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:00.0,End of 2nd quarter,46-56,,,2,56,46,10,1440.0
12:00.0,Start of 3rd quarter,46-56,,,3,56,46,10,1440.0
11:48.0,C. Thomas misses 2-pt jump shot from 18 ft,46-56, ,,3,56,46,10,1452.0
11:45.0, ,46-56,Defensive rebound by K. Lowry,,3,56,46,10,1455.0
11:23.0, ,46-59,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,59,46,13,1477.0
10:58.0,L. Walker misses 3-pt jump shot from 25 ft,46-59, ,,3,59,46,13,1502.0
10:54.0, ,46-59,Defensive rebound by J. Jaquez,,3,59,46,13,1506.0
10:48.0, ,46-61,T. Herro makes 2-pt layup from 2 ft,,3,61,46,15,1512.0
10:47.0,Brooklyn full timeout,46-61, ,,3,61,46,15,1513.0
10:33.0,Shooting foul by J. Jaquez (drawn by L. Walker),46-61, ,,3,61,46,15,1527.0
10:33.0,L. Walker makes free throw 1 of 2,47-61, ,,3,61,47,14,1527.0
10:33.0,L. Walker misses free throw 2 of 2,47-61, ,,3,61,47,14,1527.0
10:30.0, ,47-61,Defensive rebound by B. Adebayo,,3,61,47,14,1530.0
10:16.0, ,47-61,J. Butler misses 2-pt layup from 2 ft,,3,61,47,14,1544.0
10:14.0,Defensive rebound by D. Finney-Smith,47-61, ,,3,61,47,14,1546.0
10:08.0,C. Thomas makes 3-pt jump shot from 26 ft (assist by L. Walker),50-61, ,,3,61,50,11,1552.0
9:53.0, ,50-63,T. Herro makes 2-pt jump shot from 10 ft (assist by B. Adebayo),,3,63,50,13,1567.0
9:37.0,L. Walker misses 2-pt layup from 4 ft,50-63, ,,3,63,50,13,1583.0
9:35.0, ,50-63,Defensive rebound by B. Adebayo,,3,63,50,13,1585.0
9:23.0, ,50-65,B. Adebayo makes 2-pt jump shot from 11 ft,,3,65,50,15,1597.0
9:05.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by R. O'Neale),53-65, ,,3,65,53,12,1615.0
8:50.0, ,53-65,K. Lowry misses 3-pt jump shot from 26 ft,,3,65,53,12,1630.0
8:47.0,Defensive rebound by B. Simmons,53-65, ,,3,65,53,12,1633.0
8:36.0,Turnover by L. Walker (out of bounds lost ball),53-65, ,,3,65,53,12,1644.0
8:36.0,M. Bridges enters the game for L. Walker,53-65, ,,3,65,53,12,1644.0
8:23.0,Violation by Team (kicked ball),53-65, ,,3,65,53,12,1657.0
8:14.0, ,53-65,T. Herro misses 2-pt layup from 4 ft,,3,65,53,12,1666.0
8:13.0, ,53-65,Offensive rebound by J. Jaquez,,3,65,53,12,1667.0
8:11.0, ,53-67,J. Jaquez makes 2-pt layup at rim,,3,67,53,14,1669.0
7:52.0,C. Thomas misses 2-pt layup from 5 ft,53-67, ,,3,67,53,14,1688.0
7:50.0, ,53-67,Defensive rebound by K. Lowry,,3,67,53,14,1690.0
7:43.0, ,53-67,B. Adebayo misses 2-pt jump shot from 11 ft,,3,67,53,14,1697.0
7:40.0,Defensive rebound by R. O'Neale,53-67, ,,3,67,53,14,1700.0
7:32.0,D. Finney-Smith makes 2-pt jump shot from 11 ft (assist by M. Bridges),55-67, ,,3,67,55,12,1708.0
7:15.0, ,55-67,J. Butler misses 3-pt jump shot from 24 ft,,3,67,55,12,1725.0
7:12.0,Defensive rebound by R. O'Neale,55-67, ,,3,67,55,12,1728.0
7:07.0,M. Bridges misses 3-pt jump shot from 23 ft,55-67, ,,3,67,55,12,1733.0
7:04.0, ,55-67,Defensive rebound by B. Adebayo,,3,67,55,12,1736.0
6:59.0, ,55-67,T. Herro misses 3-pt jump shot from 22 ft,,3,67,55,12,1741.0
6:58.0, ,55-67,Offensive rebound by J. Butler,,3,67,55,12,1742.0
6:57.0, ,55-67,J. Butler misses 2-pt layup from 5 ft,,3,67,55,12,1743.0
6:56.0, ,55-67,Offensive rebound by J. Butler,,3,67,55,12,1744.0
6:48.0, ,55-67,J. Jaquez misses 2-pt jump shot from 21 ft,,3,67,55,12,1752.0
6:43.0,Defensive rebound by M. Bridges,55-67, ,,3,67,55,12,1757.0
6:40.0,D. Finney-Smith makes 2-pt layup from 2 ft (assist by R. O'Neale),57-67, ,,3,67,57,10,1760.0
6:19.0, ,57-67,Shooting foul by B. Simmons (drawn by B. Adebayo),,3,67,57,10,1781.0
6:19.0, ,57-68,B. Adebayo makes free throw 1 of 2,,3,68,57,11,1781.0
6:19.0,D. Sharpe enters the game for B. Simmons,57-68, ,,3,68,57,11,1781.0
6:19.0, ,57-69,B. Adebayo makes free throw 2 of 2,,3,69,57,12,1781.0
5:57.0,Shooting foul by J. Jaquez (drawn by D. Sharpe),57-69, ,,3,69,57,12,1803.0
5:57.0,D. Sharpe misses free throw 1 of 2,57-69, ,,3,69,57,12,1803.0
5:57.0,Offensive rebound by Team,57-69, ,,3,69,57,12,1803.0
