Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:25.0, ,38-49,Defensive rebound by B. Adebayo,,2,49,38,11,1055.0
6:15.0, ,38-51,D. Robinson makes 2-pt layup from 1 ft (assist by B. Adebayo),,2,51,38,13,1065.0
5:57.0,K. Towns misses 2-pt hook shot from 8 ft (block by B. Adebayo),38-51, ,,2,51,38,13,1083.0
5:56.0, ,38-51,Defensive rebound by D. Robinson,,2,51,38,13,1084.0
5:56.0, ,38-51,Turnover by D. Robinson (step out of bounds),,2,51,38,13,1084.0
5:56.0,K. Anderson enters the game for K. Towns,38-51, ,,2,51,38,13,1084.0
5:56.0, ,38-51,J. Butler enters the game for H. Highsmith,,2,51,38,13,1084.0
5:56.0, ,38-51,T. Herro enters the game for D. Robinson,,2,51,38,13,1084.0
5:52.0,A. Edwards misses 2-pt jump shot from 19 ft,38-51, ,,2,51,38,13,1088.0
5:49.0, ,38-51,Defensive rebound by J. Richardson,,2,51,38,13,1091.0
5:42.0, ,38-51,Shooting foul by J. McDaniels (drawn by J. Richardson),,2,51,38,13,1098.0
5:42.0, ,38-51,Instant Replay (Request: Ruling Stands),,2,51,38,13,1098.0
5:42.0, ,38-52,J. Richardson makes free throw 1 of 3,,2,52,38,14,1098.0
5:42.0, ,38-53,J. Richardson makes free throw 2 of 3,,2,53,38,15,1098.0
5:42.0, ,38-53,K. Love enters the game for B. Adebayo,,2,53,38,15,1098.0
5:42.0, ,38-54,J. Richardson makes free throw 3 of 3,,2,54,38,16,1098.0
5:29.0,K. Anderson misses 2-pt hook shot from 6 ft,38-54, ,,2,54,38,16,1111.0
5:25.0, ,38-54,Defensive rebound by K. Love,,2,54,38,16,1115.0
5:13.0, ,38-54,J. Butler misses 2-pt jump shot from 11 ft (block by J. McDaniels),,2,54,38,16,1127.0
5:11.0,Defensive rebound by J. McDaniels,38-54, ,,2,54,38,16,1129.0
5:07.0,J. McDaniels makes 2-pt jump shot from 6 ft,40-54, ,,2,54,40,14,1133.0
4:42.0, ,40-56,J. Jaquez makes 2-pt jump shot from 6 ft,,2,56,40,16,1158.0
4:20.0,A. Edwards makes 2-pt jump shot from 12 ft (assist by M. Conley),42-56, ,,2,56,42,14,1180.0
4:02.0, ,42-56,J. Jaquez misses 3-pt jump shot from 24 ft,,2,56,42,14,1198.0
3:59.0,Defensive rebound by A. Edwards,42-56, ,,2,56,42,14,1201.0
3:45.0,K. Anderson misses 2-pt hook shot from 6 ft,42-56, ,,2,56,42,14,1215.0
3:42.0, ,42-56,Defensive rebound by K. Love,,2,56,42,14,1218.0
3:38.0, ,42-58,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),,2,58,42,16,1222.0
3:16.0,Shooting foul by J. Jaquez (drawn by A. Edwards),42-58, ,,2,58,42,16,1244.0
3:16.0,A. Edwards makes free throw 1 of 2,43-58, ,,2,58,43,15,1244.0
3:16.0, ,43-58,C. Martin enters the game for J. Richardson,,2,58,43,15,1244.0
3:16.0,A. Edwards makes free throw 2 of 2,44-58, ,,2,58,44,14,1244.0
2:59.0, ,44-58,J. Butler misses 2-pt jump shot from 17 ft,,2,58,44,14,1261.0
2:57.0,Defensive rebound by A. Edwards,44-58, ,,2,58,44,14,1263.0
2:50.0,A. Edwards makes 2-pt jump shot from 6 ft,46-58, ,,2,58,46,12,1270.0
2:27.0, ,46-58,Turnover by C. Martin (bad pass; steal by R. Gobert),,2,58,46,12,1293.0
2:21.0,R. Gobert misses 2-pt layup from 2 ft,46-58, ,,2,58,46,12,1299.0
2:17.0, ,46-58,Defensive rebound by K. Love,,2,58,46,12,1303.0
2:13.0, ,46-61,T. Herro makes 3-pt jump shot from 24 ft (assist by C. Martin),,2,61,46,15,1307.0
1:52.0,Turnover by M. Conley (bad pass; steal by T. Herro),46-61, ,,2,61,46,15,1328.0
1:49.0, ,46-63,T. Herro makes 2-pt layup from 2 ft,,2,63,46,17,1331.0
1:47.0,Minnesota full timeout,46-63, ,,2,63,46,17,1333.0
1:47.0,N. Alexander-Walker enters the game for M. Conley,46-63, ,,2,63,46,17,1333.0
1:47.0,K. Towns enters the game for R. Gobert,46-63, ,,2,63,46,17,1333.0
1:47.0, ,46-63,B. Adebayo enters the game for J. Jaquez,,2,63,46,17,1333.0
1:47.0, ,46-63,D. Robinson enters the game for K. Love,,2,63,46,17,1333.0
1:36.0,K. Towns makes 3-pt jump shot from 27 ft (assist by A. Edwards),49-63, ,,2,63,49,14,1344.0
1:18.0, ,49-65,J. Butler makes 2-pt hook shot from 7 ft,,2,65,49,16,1362.0
1:07.0,A. Edwards makes 3-pt jump shot from 25 ft,52-65, ,,2,65,52,13,1373.0
0:52.0, ,52-65,Personal foul by K. Towns (drawn by J. Butler),,2,65,52,13,1388.0
0:52.0,R. Gobert enters the game for K. Towns,52-65, ,,2,65,52,13,1388.0
0:52.0, ,52-65,J. Jaquez enters the game for D. Robinson,,2,65,52,13,1388.0
0:45.0, ,52-65,B. Adebayo misses 2-pt layup from 3 ft,,2,65,52,13,1395.0
0:42.0,Defensive rebound by A. Edwards,52-65, ,,2,65,52,13,1398.0
0:39.0,Shooting foul by C. Martin (drawn by A. Edwards),52-65, ,,2,65,52,13,1401.0
0:39.0,A. Edwards makes free throw 1 of 2,53-65, ,,2,65,53,12,1401.0
