Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:25.0,I. Livers enters the game for K. Knox,64-76, ,,3,64,76,-12,1715.0
7:25.0, ,64-76,T. Eason enters the game for J. Tate,,3,64,76,-12,1715.0
7:19.0,C. Cunningham misses 3-pt jump shot from 28 ft,64-76, ,,3,64,76,-12,1721.0
7:17.0, ,64-76,Defensive rebound by J. Green,,3,64,76,-12,1723.0
7:07.0, ,64-78,J. Green makes 2-pt layup from 2 ft (assist by A. Sengun),,3,64,78,-14,1733.0
7:05.0,Detroit full timeout,64-78, ,,3,64,78,-14,1735.0
6:51.0,J. Ivey misses 2-pt jump shot from 10 ft,64-78, ,,3,64,78,-14,1749.0
6:50.0, ,64-78,Defensive rebound by A. Sengun,,3,64,78,-14,1750.0
6:43.0, ,64-81,F. VanVleet makes 3-pt jump shot from 28 ft (assist by A. Sengun),,3,64,81,-17,1757.0
6:32.0,Shooting foul by A. Sengun (drawn by J. Ivey),64-81, ,,3,64,81,-17,1768.0
6:32.0,J. Ivey makes free throw 1 of 2,65-81, ,,3,65,81,-16,1768.0
6:32.0,J. Ivey makes free throw 2 of 2,66-81, ,,3,66,81,-15,1768.0
6:23.0, ,66-81,Personal foul by C. Cunningham (drawn by J. Green),,3,66,81,-15,1777.0
6:23.0, ,66-82,J. Green makes free throw 1 of 2,,3,66,82,-16,1777.0
6:23.0, ,66-83,J. Green makes free throw 2 of 2,,3,66,83,-17,1777.0
6:11.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by C. Cunningham),69-83, ,,3,69,83,-14,1789.0
5:55.0, ,69-85,T. Eason makes 2-pt jump shot from 20 ft (assist by A. Sengun),,3,69,85,-16,1805.0
5:45.0,J. Ivey misses 3-pt jump shot from 25 ft,69-85, ,,3,69,85,-16,1815.0
5:44.0, ,69-85,Defensive rebound by J. Smith,,3,69,85,-16,1816.0
5:37.0, ,69-85,Offensive foul by A. Sengun (drawn by B. Bogdanović),,3,69,85,-16,1823.0
