Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:26.0, ,76-83,Detroit full timeout,,3,83,76,7,1714.0
7:09.0, ,76-83,Personal foul by L. Dort (drawn by B. Bogdanović),,3,83,76,7,1731.0
7:01.0, ,76-85,K. Hayes makes 2-pt jump shot from 11 ft,,3,85,76,9,1739.0
6:43.0,K. Johnson makes 2-pt layup from 5 ft,78-85, ,,3,85,78,7,1757.0
6:19.0, ,78-87,J. Duren makes 2-pt jump shot from 8 ft,,3,87,78,9,1781.0
5:53.0,K. Williams makes 2-pt jump shot from 18 ft,80-87, ,,3,87,80,7,1807.0
5:35.0, ,80-87,J. Ivey misses 2-pt jump shot from 20 ft,,3,87,80,7,1825.0
5:32.0,Defensive rebound by K. Johnson,80-87, ,,3,87,80,7,1828.0
5:23.0,S. Gilgeous-Alexander misses 2-pt layup from 4 ft,80-87, ,,3,87,80,7,1837.0
5:18.0, ,80-87,Defensive rebound by J. Duren,,3,87,80,7,1842.0
5:17.0, ,80-87,Turnover by K. Hayes (traveling),,3,87,80,7,1843.0
5:17.0, ,80-87,M. Morris enters the game for K. Hayes,,3,87,80,7,1843.0
5:04.0,S. Gilgeous-Alexander makes 2-pt layup from 5 ft (assist by L. Dort),82-87, ,,3,87,82,5,1856.0
4:47.0, ,82-87,B. Bogdanović misses 2-pt jump shot from 13 ft (block by L. Dort),,3,87,82,5,1873.0
4:46.0,Defensive rebound by Team,82-87, ,,3,87,82,5,1874.0
4:46.0, ,82-87,A. Burks enters the game for B. Bogdanović,,3,87,82,5,1874.0
