Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:45.0, ,34-43,J. Embiid misses 2-pt jump shot from 13 ft,,2,34,43,-9,1095.0
5:43.0,Defensive rebound by A. Thompson,34-43, ,,2,34,43,-9,1097.0
5:33.0,C. Cunningham misses 3-pt jump shot from 24 ft,34-43, ,,2,34,43,-9,1107.0
5:30.0,Offensive rebound by I. Stewart,34-43, ,,2,34,43,-9,1110.0
5:29.0,B. Bogdanović misses 3-pt jump shot from 27 ft,34-43, ,,2,34,43,-9,1111.0
5:27.0, ,34-43,Defensive rebound by N. Batum,,2,34,43,-9,1113.0
5:11.0, ,34-46,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Maxey),,2,34,46,-12,1129.0
5:01.0,A. Thompson misses 2-pt jump shot from 20 ft,34-46, ,,2,34,46,-12,1139.0
4:58.0, ,34-46,Defensive rebound by M. Morris,,2,34,46,-12,1142.0
4:41.0, ,34-46,J. Embiid misses 2-pt jump shot from 10 ft,,2,34,46,-12,1159.0
4:41.0, ,34-46,Offensive rebound by Team,,2,34,46,-12,1159.0
4:41.0,Loose ball foul by I. Livers (drawn by N. Batum),34-46, ,,2,34,46,-12,1159.0
4:41.0,A. Burks enters the game for I. Livers,34-46, ,,2,34,46,-12,1159.0
4:41.0, ,34-46,T. Harris enters the game for T. Maxey,,2,34,46,-12,1159.0
4:41.0, ,34-46,D. Melton enters the game for M. Morris,,2,34,46,-12,1159.0
4:28.0, ,34-46,N. Batum misses 3-pt jump shot from 23 ft,,2,34,46,-12,1172.0
4:25.0,Defensive rebound by C. Cunningham,34-46, ,,2,34,46,-12,1175.0
4:23.0,B. Bogdanović makes 2-pt layup at rim (assist by C. Cunningham),36-46, ,,2,36,46,-10,1177.0
4:23.0,Shooting foul by T. Harris (drawn by B. Bogdanović),36-46, ,,2,36,46,-10,1177.0
4:23.0,B. Bogdanović makes free throw 1 of 1,37-46, ,,2,37,46,-9,1177.0
4:14.0, ,37-46,Personal foul by I. Stewart (drawn by J. Embiid),,2,37,46,-9,1186.0
4:14.0, ,37-47,J. Embiid makes free throw 1 of 2,,2,37,47,-10,1186.0
4:14.0, ,37-48,J. Embiid makes free throw 2 of 2,,2,37,48,-11,1186.0
3:57.0,Shooting foul by T. Harris (drawn by B. Bogdanović),37-48, ,,2,37,48,-11,1203.0
3:57.0,B. Bogdanović makes free throw 1 of 2,38-48, ,,2,38,48,-10,1203.0
3:57.0,K. Hayes enters the game for A. Thompson,38-48, ,,2,38,48,-10,1203.0
3:57.0,B. Bogdanović misses free throw 2 of 2,38-48, ,,2,38,48,-10,1203.0
3:56.0, ,38-48,Defensive rebound by Team,,2,38,48,-10,1204.0
3:47.0, ,38-48,Shooting foul by A. Burks (drawn by D. Melton),,2,38,48,-10,1213.0
3:47.0, ,38-49,D. Melton makes free throw 1 of 2,,2,38,49,-11,1213.0
3:47.0, ,38-50,D. Melton makes free throw 2 of 2,,2,38,50,-12,1213.0
3:33.0,C. Cunningham misses 2-pt jump shot from 5 ft,38-50, ,,2,38,50,-12,1227.0
3:31.0, ,38-50,Defensive rebound by D. Melton,,2,38,50,-12,1229.0
3:19.0, ,38-50,R. Covington misses 3-pt jump shot from 27 ft,,2,38,50,-12,1241.0
3:16.0,Defensive rebound by A. Burks,38-50, ,,2,38,50,-12,1244.0
3:04.0,B. Bogdanović misses 2-pt layup from 6 ft (block by J. Embiid),38-50, ,,2,38,50,-12,1256.0
3:01.0, ,38-50,Defensive rebound by R. Covington,,2,38,50,-12,1259.0
2:50.0, ,38-52,D. Melton makes 2-pt layup from 3 ft,,2,38,52,-14,1270.0
2:39.0,Shooting foul by D. Melton (drawn by K. Hayes),38-52, ,,2,38,52,-14,1281.0
2:39.0,J. Ivey enters the game for B. Bogdanović,38-52, ,,2,38,52,-14,1281.0
2:39.0, ,38-52,Philadelphia full timeout,,2,38,52,-14,1281.0
2:39.0, ,38-52,T. Maxey enters the game for R. Covington,,2,38,52,-14,1281.0
2:39.0,K. Hayes misses free throw 1 of 2,38-52, ,,2,38,52,-14,1281.0
2:39.0,Offensive rebound by Team,38-52, ,,2,38,52,-14,1281.0
2:39.0,K. Hayes makes free throw 2 of 2,39-52, ,,2,39,52,-13,1281.0
2:16.0, ,39-52,J. Embiid misses 2-pt jump shot from 9 ft,,2,39,52,-13,1304.0
2:15.0, ,39-52,Offensive rebound by D. Melton,,2,39,52,-13,1305.0
2:14.0, ,39-52,D. Melton misses 2-pt layup at rim,,2,39,52,-13,1306.0
2:13.0,Defensive rebound by A. Burks,39-52, ,,2,39,52,-13,1307.0
1:57.0,C. Cunningham misses 2-pt jump shot from 14 ft,39-52, ,,2,39,52,-13,1323.0
1:53.0, ,39-52,Defensive rebound by T. Harris,,2,39,52,-13,1327.0
1:50.0, ,39-52,Shooting foul by J. Ivey (drawn by J. Embiid),,2,39,52,-13,1330.0
1:50.0, ,39-53,J. Embiid makes free throw 1 of 2,,2,39,53,-14,1330.0
1:50.0, ,39-54,J. Embiid makes free throw 2 of 2,,2,39,54,-15,1330.0
1:34.0,Turnover by I. Stewart (illegal assist),39-54, ,,2,39,54,-15,1346.0
1:12.0, ,39-57,T. Harris makes 3-pt jump shot from 23 ft (assist by J. Embiid),,2,39,57,-18,1368.0
0:58.0,Turnover by I. Stewart (out of bounds lost ball),39-57, ,,2,39,57,-18,1382.0
0:50.0, ,39-57,Personal foul by K. Hayes (drawn by J. Embiid),,2,39,57,-18,1390.0
0:50.0, ,39-58,J. Embiid makes free throw 1 of 2,,2,39,58,-19,1390.0
0:50.0,B. Bogdanović enters the game for K. Hayes,39-58, ,,2,39,58,-19,1390.0
0:50.0, ,39-59,J. Embiid makes free throw 2 of 2,,2,39,59,-20,1390.0
0:39.0,Turnover by B. Bogdanović (bad pass; steal by J. Embiid),39-59, ,,2,39,59,-20,1401.0
0:39.0, ,39-59,Personal foul by I. Stewart (drawn by J. Embiid),,2,39,59,-20,1401.0
0:39.0, ,39-60,J. Embiid makes free throw 1 of 2,,2,39,60,-21,1401.0
0:39.0,J. Wiseman enters the game for I. Stewart,39-60, ,,2,39,60,-21,1401.0
0:39.0, ,39-60,Technical foul by J. Embiid,,2,39,60,-21,1401.0
0:39.0,Technical foul by I. Stewart,39-60, ,,2,39,60,-21,1401.0
0:39.0, ,39-61,J. Embiid makes free throw 2 of 2,,2,39,61,-22,1401.0
0:21.0,C. Cunningham misses 2-pt dunk from 2 ft (block by D. Melton),39-61, ,,2,39,61,-22,1419.0
0:18.0, ,39-61,Defensive rebound by J. Embiid,,2,39,61,-22,1422.0
0:05.0, ,39-61,J. Embiid misses 2-pt jump shot from 11 ft,,2,39,61,-22,1435.0
0:02.0,Defensive rebound by C. Cunningham,39-61, ,,2,39,61,-22,1438.0
0:00.0,C. Cunningham misses 3-pt jump shot from 47 ft,39-61, ,,2,39,61,-22,1440.0
0:00.0,Offensive rebound by Team,39-61, ,,2,39,61,-22,1440.0
0:00.0,End of 2nd quarter,39-61,,,2,39,61,-22,1440.0
12:00.0,Start of 3rd quarter,39-61,,,3,39,61,-22,1440.0
11:41.0,C. Cunningham makes 2-pt jump shot from 15 ft,41-61, ,,3,41,61,-20,1459.0
11:21.0, ,41-61,N. Batum misses 2-pt layup from 3 ft,,3,41,61,-20,1479.0
11:19.0, ,41-61,Offensive rebound by N. Batum,,3,41,61,-20,1481.0
11:18.0, ,41-63,N. Batum makes 2-pt layup from 1 ft,,3,41,63,-22,1482.0
10:52.0,B. Bogdanović makes 2-pt jump shot from 17 ft,43-63, ,,3,43,63,-20,1508.0
10:37.0, ,43-63,T. Maxey misses 3-pt jump shot from 25 ft,,3,43,63,-20,1523.0
10:32.0, ,43-63,Offensive rebound by T. Harris,,3,43,63,-20,1528.0
10:28.0, ,43-65,T. Maxey makes 2-pt layup at rim (assist by T. Harris),,3,43,65,-22,1532.0
10:13.0,I. Stewart misses 2-pt layup from 3 ft,43-65, ,,3,43,65,-22,1547.0
10:12.0, ,43-65,Defensive rebound by J. Embiid,,3,43,65,-22,1548.0
10:05.0, ,43-65,J. Embiid misses 2-pt jump shot from 4 ft,,3,43,65,-22,1555.0
10:05.0, ,43-65,Offensive rebound by Team,,3,43,65,-22,1555.0
10:05.0,Loose ball foul by A. Thompson (drawn by J. Embiid),43-65, ,,3,43,65,-22,1555.0
10:03.0, ,43-65,Shooting foul by I. Stewart (drawn by J. Embiid),,3,43,65,-22,1557.0
10:03.0, ,43-66,J. Embiid makes free throw 1 of 2,,3,43,66,-23,1557.0
10:03.0,J. Wiseman enters the game for I. Stewart,43-66, ,,3,43,66,-23,1557.0
