Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:28.0,D. Murray misses 3-pt jump shot from 26 ft,84-77, ,,3,84,77,7,1652.0
8:27.0, ,84-77,Defensive rebound by A. Sengun,,3,84,77,7,1653.0
8:15.0, ,84-77,J. Green misses 3-pt jump shot from 24 ft,,3,84,77,7,1665.0
8:14.0,Defensive rebound by S. Bey,84-77, ,,3,84,77,7,1666.0
8:03.0,S. Bey misses 2-pt layup from 2 ft,84-77, ,,3,84,77,7,1677.0
8:01.0, ,84-77,Defensive rebound by A. Sengun,,3,84,77,7,1679.0
7:59.0, ,84-77,Personal foul by D. Hunter (drawn by A. Sengun),,3,84,77,7,1681.0
7:51.0, ,84-77,Personal foul by T. Young (drawn by A. Sengun),,3,84,77,7,1689.0
7:51.0,B. Bogdanović enters the game for T. Young,84-77, ,,3,84,77,7,1689.0
7:43.0, ,84-77,J. Green misses 3-pt jump shot from 24 ft,,3,84,77,7,1697.0
7:40.0,Defensive rebound by C. Capela,84-77, ,,3,84,77,7,1700.0
7:32.0,D. Murray misses 3-pt jump shot from 27 ft,84-77, ,,3,84,77,7,1708.0
7:31.0, ,84-77,Defensive rebound by A. Sengun,,3,84,77,7,1709.0
7:20.0, ,84-77,Shooting foul by S. Bey (drawn by J. Smith),,3,84,77,7,1720.0
7:20.0, ,84-78,J. Smith makes free throw 1 of 2,,3,84,78,6,1720.0
7:20.0,Atlanta full timeout,84-78, ,,3,84,78,6,1720.0
7:20.0, ,84-79,J. Smith makes free throw 2 of 2,,3,84,79,5,1720.0
7:08.0,B. Bogdanović misses 3-pt jump shot from 26 ft,84-79, ,,3,84,79,5,1732.0
7:07.0, ,84-79,Defensive rebound by J. Smith,,3,84,79,5,1733.0
6:45.0, ,84-81,F. VanVleet makes 2-pt layup from 5 ft (assist by J. Tate),,3,84,81,3,1755.0
6:25.0,S. Bey misses 3-pt jump shot from 23 ft,84-81, ,,3,84,81,3,1775.0
6:23.0, ,84-81,Defensive rebound by J. Smith,,3,84,81,3,1777.0
6:13.0, ,84-81,F. VanVleet misses 3-pt jump shot from 27 ft,,3,84,81,3,1787.0
6:11.0,Defensive rebound by S. Bey,84-81, ,,3,84,81,3,1789.0
6:05.0,D. Hunter makes 2-pt layup from 4 ft (assist by D. Murray),86-81, ,,3,86,81,5,1795.0
5:50.0, ,86-81,Def 3 sec tech foul by Team,,3,86,81,5,1810.0
5:50.0, ,86-82,F. VanVleet makes technical free throw,,3,86,82,4,1810.0
5:50.0,O. Okongwu enters the game for S. Bey,86-82, ,,3,86,82,4,1810.0
5:50.0, ,86-82,A. Holiday enters the game for J. Green,,3,86,82,4,1810.0
5:41.0, ,86-82,A. Sengun misses 2-pt hook shot from 3 ft,,3,86,82,4,1819.0
5:41.0, ,86-82,Offensive rebound by Team,,3,86,82,4,1819.0
