Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:19.0, ,54-58,S. Bey misses 2-pt layup at rim (block by P. Reed),,2,58,54,4,1361.0
1:18.0,Defensive rebound by K. Oubre,54-58, ,,2,58,54,4,1362.0
1:17.0,Shooting foul by O. Okongwu (drawn by T. Harris),54-58, ,,2,58,54,4,1363.0
1:17.0,T. Harris makes free throw 1 of 3,55-58, ,,2,58,55,3,1363.0
1:17.0,T. Harris makes free throw 2 of 3,56-58, ,,2,58,56,2,1363.0
1:17.0,M. Bamba enters the game for P. Reed,56-58, ,,2,58,56,2,1363.0
1:17.0,T. Harris makes free throw 3 of 3,57-58, ,,2,58,57,1,1363.0
1:10.0, ,57-58,T. Young misses 2-pt layup from 2 ft (block by M. Bamba),,2,58,57,1,1370.0
1:05.0, ,57-58,Offensive rebound by O. Okongwu,,2,58,57,1,1375.0
1:05.0, ,57-58,Turnover by O. Okongwu (bad pass; steal by K. Oubre),,2,58,57,1,1375.0
1:03.0,Turnover by K. Oubre (bad pass),57-58, ,,2,58,57,1,1377.0
0:54.0, ,57-58,Shooting foul by M. Bamba (drawn by S. Bey),,2,58,57,1,1386.0
0:54.0, ,57-58,S. Bey misses free throw 1 of 2,,2,58,57,1,1386.0
0:54.0, ,57-58,Offensive rebound by Team,,2,58,57,1,1386.0
0:54.0, ,57-59,S. Bey makes free throw 2 of 2,,2,59,57,2,1386.0
0:33.0,N. Batum makes 3-pt jump shot from 26 ft (assist by T. Maxey),60-59, ,Lead change,2,59,60,-1,1407.0
0:27.0, ,60-59,Turnover by T. Young (traveling),,2,59,60,-1,1413.0
0:27.0, ,60-59,Violation by Team (delay of game),,2,59,60,-1,1413.0
0:27.0,T. Maxey makes technical free throw,61-59, ,,2,59,61,-2,1413.0
0:27.0, ,61-59,Technical foul by T. Young,,2,59,61,-2,1413.0
0:27.0,T. Maxey makes technical free throw,62-59, ,,2,59,62,-3,1413.0
0:07.0,T. Maxey misses 2-pt layup from 1 ft,62-59, ,,2,59,62,-3,1433.0
0:05.0, ,62-59,Defensive rebound by J. Johnson,,2,59,62,-3,1435.0
0:03.0, ,62-59,Turnover by J. Johnson (bad pass; steal by M. Bamba),,2,59,62,-3,1437.0
0:03.0,M. Bamba makes 2-pt dunk from 1 ft,64-59, ,,2,59,64,-5,1437.0
0:00.0, ,64-61,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),,2,61,64,-3,1440.0
0:00.0, ,64-61,Instant Replay (Request: Ruling Stands),,2,61,64,-3,1440.0
0:00.0,End of 2nd quarter,64-61,,,2,61,64,-3,1440.0
12:00.0,Start of 3rd quarter,64-61,,,3,61,64,-3,1440.0
11:38.0,T. Maxey misses 2-pt jump shot from 19 ft,64-61, ,,3,61,64,-3,1462.0
11:34.0, ,64-61,Defensive rebound by S. Bey,,3,61,64,-3,1466.0
11:21.0, ,64-61,Def 3 sec tech foul by Team,,3,61,64,-3,1479.0
11:21.0, ,64-62,T. Young makes technical free throw,,3,62,64,-2,1479.0
11:16.0, ,64-62,Turnover by S. Bey (lost ball; steal by T. Maxey),,3,62,64,-2,1484.0
11:09.0,T. Maxey makes 2-pt layup from 2 ft,66-62, ,,3,62,66,-4,1491.0
11:09.0,Shooting foul by J. Johnson (drawn by T. Maxey),66-62, ,,3,62,66,-4,1491.0
11:09.0,T. Maxey misses free throw 1 of 1,66-62, ,,3,62,66,-4,1491.0
