Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:13.0, ,71-79,D. White makes 2-pt jump shot from 19 ft,,3,79,71,8,1907.0
3:57.0,P. Watson misses 3-pt jump shot from 27 ft,71-79, ,,3,79,71,8,1923.0
3:52.0,Offensive rebound by M. Porter,71-79, ,,3,79,71,8,1928.0
3:52.0,M. Porter makes 2-pt layup from 1 ft,73-79, ,,3,79,73,6,1928.0
3:40.0, ,73-82,D. White makes 3-pt jump shot from 26 ft,,3,82,73,9,1940.0
3:17.0,N. Jokić makes 2-pt jump shot from 17 ft (assist by R. Jackson),75-82, ,,3,82,75,7,1963.0
2:58.0, ,75-82,J. Brown misses 3-pt jump shot from 26 ft,,3,82,75,7,1982.0
2:56.0,Defensive rebound by N. Jokić,75-82, ,,3,82,75,7,1984.0
2:42.0,P. Watson makes 2-pt dunk from 1 ft (assist by N. Jokić),77-82, ,,3,82,77,5,1998.0
2:21.0, ,77-82,D. White misses 3-pt jump shot from 23 ft,,3,82,77,5,2019.0
2:19.0,Defensive rebound by A. Gordon,77-82, ,,3,82,77,5,2021.0
2:04.0,P. Watson misses 3-pt jump shot from 23 ft,77-82, ,,3,82,77,5,2036.0
2:01.0, ,77-82,Defensive rebound by S. Hauser,,3,82,77,5,2039.0
1:39.0, ,77-82,J. Brown misses 3-pt jump shot from 24 ft,,3,82,77,5,2061.0
1:36.0,Defensive rebound by A. Gordon,77-82, ,,3,82,77,5,2064.0
1:23.0,P. Watson makes 2-pt jump shot from 8 ft (assist by N. Jokić),79-82, ,,3,82,79,3,2077.0
0:57.0, ,79-82,D. White misses 2-pt layup from 3 ft (block by P. Watson),,3,82,79,3,2103.0
0:56.0,Defensive rebound by A. Gordon,79-82, ,,3,82,79,3,2104.0
0:43.0,R. Jackson misses 3-pt jump shot from 27 ft,79-82, ,,3,82,79,3,2117.0
0:40.0, ,79-82,Defensive rebound by A. Horford,,3,82,79,3,2120.0
0:33.0, ,79-82,J. Holiday misses 3-pt jump shot from 27 ft,,3,82,79,3,2127.0
0:30.0,Defensive rebound by P. Watson,79-82, ,,3,82,79,3,2130.0
0:08.0,P. Watson misses 3-pt jump shot from 27 ft,79-82, ,,3,82,79,3,2152.0
0:05.0,Offensive rebound by M. Porter,79-82, ,,3,82,79,3,2155.0
0:05.0,Shooting foul by S. Hauser (drawn by M. Porter),79-82, ,,3,82,79,3,2155.0
0:05.0,Denver full timeout,79-82, ,,3,82,79,3,2155.0
0:05.0,K. Caldwell-Pope enters the game for N. Jokić,79-82, ,,3,82,79,3,2155.0
0:05.0, ,79-82,P. Pritchard enters the game for D. White,,3,82,79,3,2155.0
0:05.0,M. Porter makes free throw 1 of 2,80-82, ,,3,82,80,2,2155.0
0:05.0,M. Porter makes free throw 2 of 2,81-82, ,,3,82,81,1,2155.0
0:02.0, ,81-82,P. Pritchard misses 2-pt jump shot from 20 ft,,3,82,81,1,2158.0
