Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:31.0, ,62-67,P. Banchero makes 3-pt jump shot from 25 ft (assist by F. Wagner),,3,62,67,-5,1829.0
5:16.0,Offensive foul by L. Kornet (drawn by F. Wagner),62-67, ,,3,62,67,-5,1844.0
5:16.0,Turnover by L. Kornet (offensive foul),62-67, ,,3,62,67,-5,1844.0
5:16.0,S. Hauser enters the game for A. Horford,62-67, ,,3,62,67,-5,1844.0
5:16.0,P. Pritchard enters the game for J. Tatum,62-67, ,,3,62,67,-5,1844.0
5:08.0, ,62-67,Turnover by J. Suggs (traveling),,3,62,67,-5,1852.0
4:58.0,Shooting foul by G. Bitadze (drawn by D. White),62-67, ,,3,62,67,-5,1862.0
4:58.0,D. White makes free throw 1 of 2,63-67, ,,3,63,67,-4,1862.0
4:58.0, ,63-67,M. Wagner enters the game for G. Bitadze,,3,63,67,-4,1862.0
4:58.0, ,63-67,Technical foul by G. Bitadze,,3,63,67,-4,1862.0
4:58.0,D. White makes technical free throw,64-67, ,,3,64,67,-3,1862.0
4:58.0,D. White makes free throw 2 of 2,65-67, ,,3,65,67,-2,1862.0
4:33.0, ,65-67,F. Wagner misses 3-pt jump shot from 26 ft,,3,65,67,-2,1887.0
