Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:09.0, ,70-62,D. Fox misses 2-pt layup from 4 ft (block by D. White),,2,70,62,8,1371.0
1:09.0, ,70-62,Offensive rebound by Team,,2,70,62,8,1371.0
1:07.0, ,70-62,K. Murray misses 2-pt jump shot from 12 ft,,2,70,62,8,1373.0
1:02.0,Defensive rebound by J. Holiday,70-62, ,,2,70,62,8,1378.0
0:59.0,J. Brown makes 2-pt layup from 1 ft (assist by J. Holiday),72-62, ,,2,72,62,10,1381.0
0:53.0, ,72-64,D. Fox makes 2-pt jump shot from 7 ft,,2,72,64,8,1387.0
0:35.0,J. Brown misses 3-pt jump shot from 25 ft,72-64, ,,2,72,64,8,1405.0
0:33.0, ,72-64,Defensive rebound by Team,,2,72,64,8,1407.0
0:24.0, ,72-66,D. Fox makes 2-pt layup from 2 ft,,2,72,66,6,1416.0
0:01.0,D. White makes 2-pt layup from 3 ft,74-66, ,,2,74,66,8,1439.0
0:00.0,End of 2nd quarter,74-66,,,2,74,66,8,1440.0
12:00.0,Start of 3rd quarter,74-66,,,3,74,66,8,1440.0
11:40.0, ,74-66,Shooting foul by J. Brown (drawn by H. Barnes),,3,74,66,8,1460.0
11:40.0, ,74-66,H. Barnes misses free throw 1 of 2,,3,74,66,8,1460.0
11:40.0, ,74-66,Offensive rebound by Team,,3,74,66,8,1460.0
11:40.0, ,74-67,H. Barnes makes free throw 2 of 2,,3,74,67,7,1460.0
11:22.0,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by D. White),76-67, ,,3,76,67,9,1478.0
11:22.0,Flagrant foul type 1 by D. Sabonis (drawn by K. Porziņģis),76-67, ,,3,76,67,9,1478.0
11:22.0,Instant Replay (Request: Ruling Stands),76-67, ,,3,76,67,9,1478.0
11:22.0,K. Porziņģis makes flagrant free throw 1 of 1,77-67, ,,3,77,67,10,1478.0
11:11.0,Shooting foul by K. Huerter (drawn by K. Porziņģis),77-67, ,,3,77,67,10,1489.0
11:11.0,K. Porziņģis makes free throw 1 of 2,78-67, ,,3,78,67,11,1489.0
11:11.0,K. Porziņģis makes free throw 2 of 2,79-67, ,,3,79,67,12,1489.0
11:00.0, ,79-67,D. Fox misses 2-pt layup from 2 ft (block by K. Porziņģis),,3,79,67,12,1500.0
10:56.0,Defensive rebound by K. Porziņģis,79-67, ,,3,79,67,12,1504.0
10:53.0,D. White makes 2-pt layup from 1 ft (assist by J. Holiday),81-67, ,,3,81,67,14,1507.0
10:35.0, ,81-69,K. Huerter makes 2-pt layup from 4 ft,,3,81,69,12,1525.0
10:35.0, ,81-69,Shooting foul by S. Hauser (drawn by K. Huerter),,3,81,69,12,1525.0
10:35.0, ,81-69,K. Huerter misses free throw 1 of 1,,3,81,69,12,1525.0
10:32.0,Defensive rebound by J. Holiday,81-69, ,,3,81,69,12,1528.0
