Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:49.0, ,69-85,Offensive rebound by N. Queta,,3,85,69,16,1991.0
2:47.0, ,69-87,N. Queta makes 2-pt dunk from 3 ft,,3,87,69,18,1993.0
2:32.0,D. Vassell misses 2-pt jump shot from 10 ft,69-87, ,,3,87,69,18,2008.0
2:32.0, ,69-87,Defensive rebound by P. Pritchard,,3,87,69,18,2008.0
2:23.0, ,69-87,Shooting foul by D. Barlow (drawn by J. Tatum),,3,87,69,18,2017.0
2:23.0, ,69-87,Boston full timeout,,3,87,69,18,2017.0
2:23.0,Technical foul by G. Popovich,69-87, ,,3,87,69,18,2017.0
2:23.0,D. McDermott enters the game for D. Barlow,69-87, ,,3,87,69,18,2017.0
2:23.0,V. Wembanyama enters the game for D. Vassell,69-87, ,,3,87,69,18,2017.0
2:23.0, ,69-87,O. Brissett enters the game for A. Horford,,3,87,69,18,2017.0
2:23.0, ,69-87,J. Tatum misses technical free throw,,3,87,69,18,2017.0
2:23.0, ,69-87,Offensive rebound by Team,,3,87,69,18,2017.0
2:23.0, ,69-88,J. Tatum makes free throw 1 of 2,,3,88,69,19,2017.0
2:23.0, ,69-89,J. Tatum makes free throw 2 of 2,,3,89,69,20,2017.0
2:10.0,M. Branham makes 2-pt layup from 4 ft,71-89, ,,3,89,71,18,2030.0
1:48.0, ,71-89,Turnover by O. Brissett (bad pass),,3,89,71,18,2052.0
1:34.0,Shooting foul by N. Queta (drawn by V. Wembanyama),71-89, ,,3,89,71,18,2066.0
1:34.0,V. Wembanyama makes free throw 1 of 2,72-89, ,,3,89,72,17,2066.0
1:34.0,V. Wembanyama makes free throw 2 of 2,73-89, ,,3,89,73,16,2066.0
1:23.0, ,73-89,Offensive foul by J. Tatum (drawn by M. Branham),,3,89,73,16,2077.0
1:23.0, ,73-89,Turnover by J. Tatum (offensive foul),,3,89,73,16,2077.0
1:15.0,Shooting foul by N. Queta (drawn by V. Wembanyama),73-89, ,,3,89,73,16,2085.0
1:15.0,V. Wembanyama makes free throw 1 of 2,74-89, ,,3,89,74,15,2085.0
1:15.0, ,74-89,L. Kornet enters the game for N. Queta,,3,89,74,15,2085.0
1:15.0,V. Wembanyama misses free throw 2 of 2,74-89, ,,3,89,74,15,2085.0
1:15.0, ,74-89,Defensive rebound by J. Tatum,,3,89,74,15,2085.0
1:00.0, ,74-92,J. Tatum makes 3-pt jump shot from 26 ft,,3,92,74,18,2100.0
0:44.0,V. Wembanyama makes 2-pt layup from 3 ft (assist by M. Branham),76-92, ,,3,92,76,16,2116.0
0:30.0, ,76-94,P. Pritchard makes 2-pt jump shot from 21 ft (assist by O. Brissett),,3,94,76,18,2130.0
0:07.0,V. Wembanyama makes 2-pt layup from 2 ft,78-94, ,,3,94,78,16,2153.0
0:01.0, ,78-94,J. Tatum misses 3-pt jump shot from 28 ft,,3,94,78,16,2159.0
0:00.0, ,78-94,Offensive rebound by Team,,3,94,78,16,2160.0
0:00.0, ,78-94,O. Brissett misses 2-pt jump shot from 17 ft,,3,94,78,16,2160.0
0:00.0,End of 3rd quarter,78-94,,,3,94,78,16,2160.0
12:00.0,Start of 4th quarter,78-94,,,4,94,78,16,2160.0
11:43.0, ,78-97,J. Brown makes 3-pt jump shot from 23 ft (assist by L. Kornet),,4,97,78,19,2177.0
11:31.0,D. McDermott misses 2-pt jump shot from 7 ft,78-97, ,,4,97,78,19,2189.0
11:29.0,Offensive rebound by V. Wembanyama,78-97, ,,4,97,78,19,2191.0
11:28.0,V. Wembanyama misses 2-pt layup from 5 ft,78-97, ,,4,97,78,19,2192.0
11:25.0, ,78-97,Defensive rebound by L. Kornet,,4,97,78,19,2195.0
11:20.0, ,78-97,Shooting foul by D. McDermott (drawn by O. Brissett),,4,97,78,19,2200.0
11:20.0, ,78-98,O. Brissett makes free throw 1 of 2,,4,98,78,20,2200.0
11:20.0,D. Vassell enters the game for C. Osman,78-98, ,,4,98,78,20,2200.0
11:20.0, ,78-98,O. Brissett misses free throw 2 of 2,,4,98,78,20,2200.0
11:20.0,Defensive rebound by K. Johnson,78-98, ,,4,98,78,20,2200.0
11:04.0,V. Wembanyama misses 3-pt jump shot from 28 ft,78-98, ,,4,98,78,20,2216.0
11:02.0, ,78-98,Defensive rebound by O. Brissett,,4,98,78,20,2218.0
10:44.0, ,78-98,J. Holiday misses 2-pt jump shot from 6 ft,,4,98,78,20,2236.0
10:43.0, ,78-98,Offensive rebound by L. Kornet,,4,98,78,20,2237.0
10:43.0, ,78-100,L. Kornet makes 2-pt layup at rim,,4,100,78,22,2237.0
10:37.0,Turnover by V. Wembanyama (bad pass; steal by J. Brown),78-100, ,,4,100,78,22,2243.0
