Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:26.0, ,88-77,K. Dunn makes 3-pt jump shot from 24 ft (assist by B. Sensabaugh),,3,88,77,11,1834.0
5:08.0,J. Tatum misses 3-pt jump shot from 26 ft,88-77, ,,3,88,77,11,1852.0
5:05.0, ,88-77,Defensive rebound by B. Sensabaugh,,3,88,77,11,1855.0
4:56.0, ,88-80,K. Dunn makes 3-pt jump shot from 26 ft (assist by L. Šamanić),,3,88,80,8,1864.0
4:54.0,Boston full timeout,88-80, ,,3,88,80,8,1866.0
4:54.0,X. Tillman enters the game for L. Kornet,88-80, ,,3,88,80,8,1866.0
4:54.0, ,88-80,J. Clarkson enters the game for L. Šamanić,,3,88,80,8,1866.0
4:38.0,P. Pritchard misses 3-pt jump shot from 26 ft,88-80, ,,3,88,80,8,1882.0
4:34.0, ,88-80,Defensive rebound by C. Sexton,,3,88,80,8,1886.0
4:21.0, ,88-80,J. Collins misses 2-pt hook shot from 6 ft,,3,88,80,8,1899.0
4:18.0,Defensive rebound by O. Brissett,88-80, ,,3,88,80,8,1902.0
4:02.0,J. Tatum makes 2-pt layup from 3 ft,90-80, ,,3,90,80,10,1918.0
3:44.0, ,90-82,B. Sensabaugh makes 2-pt jump shot from 14 ft (assist by C. Sexton),,3,90,82,8,1936.0
3:22.0,J. Holiday misses 3-pt jump shot from 26 ft,90-82, ,,3,90,82,8,1958.0
3:19.0,Offensive rebound by O. Brissett,90-82, ,,3,90,82,8,1961.0
3:19.0,Shooting foul by J. Clarkson (drawn by O. Brissett),90-82, ,,3,90,82,8,1961.0
3:19.0,O. Brissett misses free throw 1 of 2,90-82, ,,3,90,82,8,1961.0
3:19.0,Offensive rebound by Team,90-82, ,,3,90,82,8,1961.0
3:19.0, ,90-82,W. Kessler enters the game for J. Collins,,3,90,82,8,1961.0
3:19.0,O. Brissett misses free throw 2 of 2,90-82, ,,3,90,82,8,1961.0
3:17.0, ,90-82,Defensive rebound by K. Dunn,,3,90,82,8,1963.0
2:55.0, ,90-82,J. Clarkson misses 2-pt jump shot from 15 ft,,3,90,82,8,1985.0
2:52.0, ,90-82,Offensive rebound by W. Kessler,,3,90,82,8,1988.0
2:45.0, ,90-84,J. Clarkson makes 2-pt layup from 4 ft,,3,90,84,6,1995.0
2:17.0,X. Tillman misses 2-pt jump shot from 8 ft,90-84, ,,3,90,84,6,2023.0
2:17.0,Offensive rebound by Team,90-84, ,,3,90,84,6,2023.0
2:17.0, ,90-84,Loose ball foul by C. Sexton (drawn by O. Brissett),,3,90,84,6,2023.0
2:17.0, ,90-84,M. Potter enters the game for C. Sexton,,3,90,84,6,2023.0
2:11.0,J. Tatum misses 2-pt jump shot from 16 ft,90-84, ,,3,90,84,6,2029.0
2:09.0, ,90-84,Defensive rebound by M. Potter,,3,90,84,6,2031.0
1:57.0, ,90-86,J. Clarkson makes 2-pt hook shot from 8 ft (assist by K. Dunn),,3,90,86,4,2043.0
