Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:41.0, ,69-62,Golden State full timeout,,3,69,62,7,1579.0
9:23.0, ,69-62,Turnover by K. Thompson (traveling),,3,69,62,7,1597.0
9:23.0, ,69-62,Violation by Team (delay of game),,3,69,62,7,1597.0
9:12.0,Shooting foul by A. Wiggins (drawn by J. Brown),69-62, ,,3,69,62,7,1608.0
9:12.0,J. Brown makes free throw 1 of 2,70-62, ,,3,70,62,8,1608.0
9:12.0,J. Brown makes free throw 2 of 2,71-62, ,,3,71,62,9,1608.0
9:03.0, ,71-65,S. Curry makes 3-pt jump shot from 29 ft (assist by K. Looney),,3,71,65,6,1617.0
8:35.0,J. Holiday makes 2-pt jump shot from 16 ft,73-65, ,,3,73,65,8,1645.0
8:16.0, ,73-67,K. Thompson makes 2-pt jump shot from 12 ft,,3,73,67,6,1664.0
8:12.0,J. Brown makes 2-pt layup from 7 ft (assist by D. White),75-67, ,,3,75,67,8,1668.0
8:12.0,Shooting foul by S. Curry (drawn by J. Brown),75-67, ,,3,75,67,8,1668.0
8:12.0,J. Brown makes free throw 1 of 1,76-67, ,,3,76,67,9,1668.0
8:00.0, ,76-67,Personal foul by J. Holiday (drawn by J. Kuminga),,3,76,67,9,1680.0
8:00.0,N. Queta enters the game for J. Holiday,76-67, ,,3,76,67,9,1680.0
7:55.0, ,76-67,S. Curry misses 3-pt jump shot from 28 ft,,3,76,67,9,1685.0
7:52.0,Defensive rebound by Team,76-67, ,,3,76,67,9,1688.0
7:42.0,D. White makes 2-pt jump shot from 7 ft,78-67, ,,3,78,67,11,1698.0
7:31.0, ,78-70,K. Thompson makes 3-pt jump shot from 28 ft,,3,78,70,8,1709.0
7:04.0,D. White misses 3-pt jump shot from 26 ft,78-70, ,,3,78,70,8,1736.0
7:01.0, ,78-70,Defensive rebound by K. Looney,,3,78,70,8,1739.0
6:55.0, ,78-70,K. Thompson misses 3-pt jump shot from 28 ft,,3,78,70,8,1745.0
6:52.0,Defensive rebound by A. Horford,78-70, ,,3,78,70,8,1748.0
6:48.0,J. Brown misses 2-pt layup from 5 ft,78-70, ,,3,78,70,8,1752.0
6:45.0,Offensive rebound by D. White,78-70, ,,3,78,70,8,1755.0
6:43.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),81-70, ,,3,81,70,11,1757.0
6:22.0, ,81-70,A. Wiggins misses 2-pt jump shot from 13 ft,,3,81,70,11,1778.0
6:20.0,Defensive rebound by N. Queta,81-70, ,,3,81,70,11,1780.0
6:07.0,J. Brown makes 2-pt jump shot from 5 ft,83-70, ,,3,83,70,13,1793.0
6:07.0,Shooting foul by S. Curry (drawn by J. Brown),83-70, ,,3,83,70,13,1793.0
6:07.0, ,83-70,Golden State full timeout,,3,83,70,13,1793.0
6:07.0, ,83-70,Instant Replay (Challenge: Stands),,3,83,70,13,1793.0
6:07.0, ,83-70,T. Jackson-Davis enters the game for S. Curry,,3,83,70,13,1793.0
6:07.0, ,83-70,C. Joseph enters the game for K. Looney,,3,83,70,13,1793.0
6:07.0, ,83-70,C. Paul enters the game for K. Thompson,,3,83,70,13,1793.0
6:07.0, ,83-70,D. Šarić enters the game for A. Wiggins,,3,83,70,13,1793.0
6:07.0,J. Brown misses free throw 1 of 1,83-70, ,,3,83,70,13,1793.0
6:05.0, ,83-70,Defensive rebound by C. Joseph,,3,83,70,13,1795.0
5:55.0, ,83-70,C. Paul misses 2-pt jump shot from 19 ft,,3,83,70,13,1805.0
5:52.0, ,83-70,Offensive rebound by D. Šarić,,3,83,70,13,1808.0
5:48.0, ,83-70,J. Kuminga misses 3-pt jump shot from 25 ft,,3,83,70,13,1812.0
5:45.0,Defensive rebound by J. Tatum,83-70, ,,3,83,70,13,1815.0
