Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:15.0,T. Murphy misses 3-pt jump shot from 27 ft,55-45, ,,2,45,55,-10,1305.0
2:14.0, ,55-45,Defensive rebound by J. Brown,,2,45,55,-10,1306.0
1:55.0, ,55-45,D. White misses 3-pt jump shot from 24 ft,,2,45,55,-10,1325.0
1:51.0,Defensive rebound by C. McCollum,55-45, ,,2,45,55,-10,1329.0
1:45.0,H. Jones makes 3-pt jump shot from 24 ft (assist by C. McCollum),58-45, ,,2,45,58,-13,1335.0
1:30.0, ,58-47,J. Holiday makes 2-pt layup from 4 ft,,2,47,58,-11,1350.0
1:30.0, ,58-47,Shooting foul by C. McCollum (drawn by J. Holiday),,2,47,58,-11,1350.0
1:30.0,Z. Williamson enters the game for T. Murphy,58-47, ,,2,47,58,-11,1350.0
1:30.0, ,58-48,J. Holiday makes free throw 1 of 1,,2,48,58,-10,1350.0
1:18.0,Z. Williamson makes 2-pt layup from 1 ft,60-48, ,,2,48,60,-12,1362.0
1:00.0, ,60-50,J. Brown makes 2-pt layup from 2 ft,,2,50,60,-10,1380.0
0:43.0,L. Nance misses 3-pt jump shot from 24 ft,60-50, ,,2,50,60,-10,1397.0
0:41.0, ,60-50,Defensive rebound by J. Tatum,,2,50,60,-10,1399.0
0:35.0, ,60-50,J. Brown misses 3-pt jump shot from 27 ft,,2,50,60,-10,1405.0
0:33.0,Defensive rebound by B. Ingram,60-50, ,,2,50,60,-10,1407.0
0:14.0,B. Ingram misses 3-pt jump shot from 27 ft,60-50, ,,2,50,60,-10,1426.0
0:12.0, ,60-50,Defensive rebound by J. Tatum,,2,50,60,-10,1428.0
0:01.0, ,60-50,D. White misses 3-pt jump shot from 24 ft,,2,50,60,-10,1439.0
0:01.0, ,60-50,Offensive rebound by Team,,2,50,60,-10,1439.0
0:00.0,End of 2nd quarter,60-50,,,2,50,60,-10,1440.0
12:00.0,Start of 3rd quarter,60-50,,,3,50,60,-10,1440.0
