Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:28.0, ,75-85,J. Brown makes 2-pt jump shot from 9 ft,,3,85,75,10,1892.0
4:02.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by D. Mitchell),78-85, ,,3,85,78,7,1918.0
3:41.0, ,78-85,J. Brown misses 2-pt dunk from 1 ft (block by C. LeVert),,3,85,78,7,1939.0
3:39.0,Defensive rebound by J. Allen,78-85, ,,3,85,78,7,1941.0
3:34.0,D. Mitchell makes 2-pt jump shot from 9 ft (assist by C. LeVert),80-85, ,,3,85,80,5,1946.0
3:25.0, ,80-85,D. White misses 2-pt layup from 4 ft,,3,85,80,5,1955.0
3:23.0, ,80-85,Offensive rebound by J. Brown,,3,85,80,5,1957.0
3:23.0, ,80-85,J. Brown misses 2-pt layup from 2 ft,,3,85,80,5,1957.0
3:22.0, ,80-85,Offensive rebound by D. White,,3,85,80,5,1958.0
3:20.0, ,80-87,D. White makes 2-pt layup from 3 ft,,3,87,80,7,1960.0
2:53.0,J. Allen misses 2-pt jump shot from 8 ft,80-87, ,,3,87,80,7,1987.0
2:53.0,Offensive rebound by I. Okoro,80-87, ,,3,87,80,7,1987.0
2:50.0,Offensive foul by I. Okoro (drawn by S. Hauser),80-87, ,,3,87,80,7,1990.0
2:50.0,Turnover by I. Okoro (offensive foul),80-87, ,,3,87,80,7,1990.0
2:50.0,G. Niang enters the game for D. Mitchell,80-87, ,,3,87,80,7,1990.0
2:50.0,D. Wade enters the game for I. Okoro,80-87, ,,3,87,80,7,1990.0
2:37.0, ,80-87,Shooting foul by C. LeVert (drawn by K. Porziņģis),,3,87,80,7,2003.0
2:37.0, ,80-88,K. Porziņģis makes free throw 1 of 2,,3,88,80,8,2003.0
2:37.0, ,80-88,K. Porziņģis misses free throw 2 of 2,,3,88,80,8,2003.0
